City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
168,dakhla,23.6848,-15.958,19.18,88,100,5.99,EH,1701747132
169,diamantino,-14.4086,-56.4461,23.36,89,100,1.14,BR,1701747133
170,extrema,-22.8547,-46.3183,19.05,98,100,1.43,BR,1701747134
171,aasiaat,68.7098,-52.8699,-14.83,97,87,2.75,GL,1701747135
172,axim,4.8699,-2.2405,25.98,85,1,1.41,GH,1701747136
173,withernsea,53.7311,0.0335,7.83,76,100,9.21,GB,1701747138
174,hami,42.8,93.45,2.21,35,0,0.62,CN,1701747139
175,hillarys,-31.807,115.7404,28.95,52,100,6.21,AU,1701747117
176,priozersk,61.0393,30.1291,-14.29,99,100,1.7,RU,1701747142
177,badger,64.8,-147.5333,-17.58,78,75,2.57,US,1701747144
178,st. john's,47.5649,-52.7093,1.65,97,100,8.94,CA,1701747146
179,sambava,-14.2667,50.1667,25.19,73,5,3.99,MG,1701747148
180,san fernando de apure,7.8878,-67.4724,25.27,70,4,2.02,VE,1701746985
181,mogocha,53.7333,119.7667,-10.29,91,100,0.54,RU,1701747152
182,larkird,35.4894,66.6641,11.33,20,0,1.75,AF,1701747153
183,kawambwa,-9.7915,29.0791,17.28,95,100,1.58,ZM,1701747155
184,szecseny,48.0806,19.5202,-2.53,92,100,2.48,HU,1701747156
185,port elizabeth,-33.918,25.5701,17.16,81,40,3.09,ZA,1701747158
186,puerto carreno,6.189,-67.4859,26.55,66,14,4.38,CO,1701747159
187,ljungby,56.8332,13.9408,-5.77,96,44,3.15,SE,1701747160
188,puerto rosario,-24.45,-57.0833,23.3,98,99,1.1,PY,1701747161
189,thunder bay,48.4001,-89.3168,-0.01,93,100,1.03,CA,1701746869
190,pariaman,-0.619,100.12,29.03,71,39,1.26,ID,1701746942
191,khandyga,62.6667,135.6,-44.24,95,28,0.82,RU,1701747164
192,chios,38.3678,26.1358,13.92,94,20,1.03,GR,1701747165
193,bayanhongor,46.7167,100.1167,-14.93,64,1,1.23,MN,1701747165
194,mbeya,-8.9,33.45,16.25,94,99,1.15,TZ,1701747166
195,shimoda,34.6667,138.95,12.2,65,100,4.03,JP,1701747167
196,saint-joseph,-21.3667,55.6167,25.82,83,96,5.12,RE,1701747168
197,palmares do sul,-30.2578,-50.5097,19.2,80,100,5.25,BR,1701747169
198,port victoria,0.0939,33.9756,19.47,80,5,2.61,KE,1701747169
199,vila franca do campo,37.7167,-25.4333,14.23,78,62,1.91,PT,1701747170
200,hanceville,34.0607,-86.7675,9.0,82,3,1.31,US,1701747171
201,kikvidze,50.7416,43.0518,-6.9,73,6,3.25,RU,1701747172
202,nisa,43.7031,7.2661,8.83,90,75,4.63,FR,1701747173
203,saudarkrokur,65.7461,-19.6394,-3.31,71,66,3.44,IS,1701747174
204,colonia,50.9333,6.95,6.35,91,20,5.14,DE,1701747176
205,north bend,43.4065,-124.2243,16.71,94,100,3.09,US,1701747177
206,howard springs,-12.497,131.047,35.55,65,91,2.37,AU,1701747178
207,oyama,36.3,139.8,9.77,47,100,1.47,JP,1701747179
208,tamanrasset,22.785,5.5228,8.95,23,0,0.0,DZ,1701747180
209,tarasovskiy,48.7292,40.3636,-3.4,69,0,2.4,RU,1701747181
210,muborak,39.2553,65.1528,13.25,34,3,2.81,UZ,1701747182
211,nova sintra,14.8667,-24.7167,22.06,78,63,8.15,CV,1701747183
212,amga,60.8953,131.9608,-38.44,97,91,1.36,RU,1701747185
213,tromso,69.6496,18.957,-3.99,86,100,2.06,NO,1701747186
214,urengoy,65.9667,78.3667,-41.11,100,52,0.97,RU,1701747187
215,grand falls-windsor,48.9332,-55.6649,-0.83,91,100,2.0,CA,1701747188
216,lata,40.1629,-8.3327,5.04,92,100,1.52,PT,1701747189
217,mirnyy,62.5353,113.9611,-40.43,65,96,3.13,RU,1701747190
218,afaahiti,-17.75,-149.2833,28.93,83,100,7.74,PF,1701747191
219,broome,42.2506,-75.833,2.61,91,100,4.63,US,1701747192
220,cananeia,-25.0147,-47.9267,23.23,94,100,2.43,BR,1701747193
221,priob'ye,62.5206,65.5964,-18.87,95,100,5.56,RU,1701747194
222,flying fish cove,-10.4217,105.6791,27.82,78,75,6.17,CX,1701747195
223,kogalym,62.2654,74.4791,-30.01,97,85,4.33,RU,1701747196
224,kuusamo,65.9667,29.1833,-16.98,85,20,0.51,FI,1701747196
225,chatham,51.3789,0.5279,6.81,78,100,2.68,GB,1701747003
226,kalmunai,7.4167,81.8167,28.02,80,51,2.14,LK,1701747198
227,thinadhoo,0.5333,72.9333,28.38,68,63,2.15,MV,1701747200
228,tamandare,-8.7597,-35.1047,25.61,85,89,4.5,BR,1701747118
229,susuman,62.7833,148.1667,-42.79,100,98,0.89,RU,1701747202
230,dailekh,28.8333,81.6667,18.87,49,16,0.36,NP,1701747203
231,lihue,21.9789,-159.3672,27.58,83,75,5.14,US,1701747203
232,egilsstadir,65.2653,-14.3948,-8.05,86,75,1.54,IS,1701747205
233,fale old settlement,-9.3852,-171.2468,28.85,76,100,5.3,TK,1701747207
234,port douglas,-16.4833,145.4667,29.08,68,53,5.56,AU,1701746912
235,monte alegre,-2.0078,-54.0692,25.4,78,97,3.03,BR,1701747208
236,papao,-17.75,-149.55,29.82,81,100,8.21,PF,1701747209
237,odda,60.0691,6.5457,-3.46,98,72,1.98,NO,1701747211
238,bongaree,-27.0797,153.1586,30.84,66,22,5.08,AU,1701747212
239,ishigaki,24.3448,124.1572,23.07,88,75,4.12,JP,1701747212
240,anju,39.6178,125.6647,4.39,87,100,1.35,KP,1701747214
241,tolanaro,-25.0319,46.9987,24.04,73,20,7.72,MG,1701747215
242,waingapu,-9.6567,120.2641,30.67,64,62,4.36,ID,1701747215
243,viedma,-40.8135,-62.9967,15.16,50,0,6.16,AR,1701746956
244,mahibadhoo,3.7833,72.9667,28.61,75,98,8.13,MV,1701747217
245,heunghae,36.1125,129.3522,11.52,35,93,0.59,KR,1701747218
246,ndele,8.4109,20.6473,22.32,82,75,1.8,CF,1701747219
247,cox's bazar,21.4532,91.9798,24.4,69,100,4.05,BD,1701746967
248,nyborg,55.3127,10.7896,-0.6,75,92,8.48,DK,1701747221
249,san jose del guaviare,2.5729,-72.6459,23.37,84,18,0.92,CO,1701747222
250,chibougamau,49.9168,-74.3659,-19.21,84,0,2.06,CA,1701747223
251,tsiombe,-25.3,45.4833,24.32,65,42,3.65,MG,1701747224
252,moshkovo,55.3053,83.6104,-13.82,92,100,3.68,RU,1701747225
253,kyzyl-mazhalyk,51.1333,90.6,-13.94,81,100,0.45,RU,1701747225
254,tambura,5.6,27.4667,21.0,89,95,1.39,SS,1701747226
255,santa cruz,-17.8,-63.1667,23.7,83,75,1.03,BO,1701747212
256,carutapera,-1.195,-46.02,25.49,86,13,2.67,BR,1701747228
257,gloucester,51.8657,-2.2431,5.42,95,100,4.66,GB,1701747229
258,svyetlahorsk,52.6329,29.7389,-4.86,92,100,3.47,BY,1701747229
